Fact_ID,Tag_Key,Confidence_Score
1072,10,0.5
1072,24,0.5
1072,36,0.5
1072,37,0.5
1073,10,0.7
1073,26,0.7
1073,27,0.7
1073,12,0.5
1073,14,0.5
1073,17,0.5
1073,18,0.5
1073,21,0.5
1073,29,0.5
1073,30,0.5
1073,37,0.5
1074,26,0.9
1074,12,0.5
1074,20,0.5
1074,30,0.5
1075,12,0.5
1076,26,0.7
1076,54,0.7
1076,21,0.5
1076,24,0.5
1076,27,0.5
1076,48,0.5
1077,10,0.5
1078,54,0.7
1078,26,0.6
1079,12,0.7
1079,20,0.7
1079,17,0.5
1079,18,0.5
1079,53,0.5
1080,26,0.6
1080,14,0.5
1080,24,0.5
1080,27,0.5
1080,54,0.5
1081,54,0.5
1082,24,0.5
1082,28,0.5
1082,29,0.5
1082,30,0.5
1082,41,0.5
1082,54,0.5
1083,27,1.0
1083,29,0.9
1083,30,0.9
1083,12,0.5
1083,24,0.5
1083,36,0.5
1083,37,0.5
1083,48,0.5
1083,51,0.5
1084,26,0.8
1084,12,0.5
1084,24,0.5
1084,27,0.5
1084,29,0.5
1084,30,0.5
1085,26,0.9
1085,21,0.7
1085,10,0.5
1085,14,0.5
1085,54,0.5
1086,26,0.9
1086,12,0.5
1086,20,0.5
1086,21,0.5
1086,24,0.5
1086,29,0.5
1086,30,0.5
1086,48,0.5
1086,54,0.5
1087,26,0.6
1087,14,0.5
1087,21,0.5
1088,29,0.7
1088,36,0.7
1088,10,0.5
1088,15,0.5
1088,26,0.5
1088,27,0.5
1088,30,0.5
1088,37,0.5
1089,26,0.7
1089,12,0.5
1089,14,0.5
1089,24,0.5
1089,29,0.5
1089,30,0.5
1089,54,0.5
1090,26,0.7
1090,10,0.5
1090,12,0.5
1090,15,0.5
1090,24,0.5
1090,54,0.5
1091,10,0.9
1091,14,0.7
1091,12,0.5
1091,13,0.5
1091,20,0.5
1091,21,0.5
1091,37,0.5
1091,53,0.5
1092,26,0.7
1092,24,0.5
1093,27,0.9
1093,29,0.9
1093,30,0.8
1093,12,0.7
1093,24,0.5
1093,36,0.5
1093,37,0.5
1093,51,0.5
1093,52,0.5
1094,21,0.5
1094,24,0.5
1094,26,0.5
1095,10,0.5
1095,13,0.5
1095,17,0.5
1095,18,0.5
1095,26,0.5
1095,54,0.5
1096,10,0.7
1096,27,0.7
1096,30,0.7
1096,49,0.7
1096,11,0.5
1096,29,0.5
1096,48,0.5
1097,26,0.6
1097,10,0.5
1097,17,0.5
